case_material
-
Aluminum
Brass
Bronze
Carbon
Ceramic
Gold-plated
Gold/Steel
Palladium
Plastic
Platinum
Red gold
Rose gold
Rose gold and steel
Sapphire crystal
Silver
Steel
Tantalum
Titanium
Tungsten
White gold
White gold and steel
Yellow gold
Yellow gold and steel
