time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T01:17:34.342Z,37.2256,37.0143,10,7.8,mww,266,17,0.165,0.66,us,us6000jllz,2024-10-02T07:31:26.861Z,"Pazarcik earthquake, Kahramanmaras earthquake sequence",earthquake,5.23,1.784,0.05,38,reviewed,us,us
2023-02-06T01:26:50.869Z,37.2252,37.0001,10,5.7,mb,94,75,0.175,1.32,us,us6000jlnn,2024-10-09T17:16:06.477Z,"24 km ENE of Nurda??, Turkey",earthquake,2.35,1.789,0.072,69,reviewed,us,us
2023-02-06T01:28:15.784Z,37.1893,36.8929,9.797,6.7,mww,194,19,0.254,0.68,us,us6000jlm1,2023-09-22T20:09:20.631Z,"14 km E of Nurda??, Turkey",earthquake,7.68,3.333,0.098,10,reviewed,us,us
2023-02-06T01:36:27.357Z,36.9921,36.6832,10,5.6,mb,167,47,0.458,0.59,us,us6000jlm9,2023-04-15T21:39:33.040Z,"Turkey-Syria border region",earthquake,6.2,1.76,0.052,128,reviewed,us,us
2023-02-06T01:40:48.558Z,36.6696,36.4767,10,4.7,mb,17,227,0.772,0.51,us,us6000jnr5,2023-04-15T21:39:59.040Z,"14 km SSW of A?a?? Karafak?l?, Turkey",earthquake,4.2,1.926,0.225,6,reviewed,us,us
2023-02-06T01:41:15.211Z,37.9792,38.5117,14.252,4.6,mb,49,112,2.267,0.66,us,us6000jnvq,2023-04-15T21:40:05.040Z,"10 km SW of Sincik, Turkey",earthquake,7.61,3.691,0.119,21,reviewed,us,us
2023-02-06T01:47:43.761Z,38.6055,40.5767,11.35,4.6,mb,17,158,1.142,0.77,us,us6000jm4u,2023-04-15T21:39:41.040Z,"15 km S of Genç, Turkey",earthquake,7.05,6.644,0.207,7,reviewed,us,us
2023-02-06T01:48:12.210Z,37.9828,38.1435,10,4.9,mb,83,60,0.763,0.89,us,us6000jlmd,2023-04-15T21:39:33.040Z,"9 km WSW of Çelikhan, Turkey",earthquake,4.03,1.625,0.077,53,reviewed,us,us
2023-02-06T01:50:10.207Z,38.2407,38.7424,15.123,4.8,mb,78,85,0.801,0.68,us,us6000jns9,2023-04-15T21:40:01.040Z,"25 km NNE of Sincik, Turkey",earthquake,3,4.766,0.094,35,reviewed,us,us
2023-02-06T01:51:19.056Z,36.7205,36.6192,10,4.5,mb,41,172,0.653,0.69,us,us6000jnr6,2023-04-15T21:39:59.040Z,"8 km SE of A?a?? Karafak?l?, Turkey",earthquake,6.94,1.92,0.124,19,reviewed,us,us
2023-02-06T01:51:43.490Z,37.4756,37.1578,7.445,4.7,mb,76,77,0.306,0.84,us,us6000jm4n,2023-04-15T21:39:41.040Z,"12 km W of Pazarc?k, Turkey",earthquake,4.88,4.304,0.08,47,reviewed,us,us
2023-02-06T01:54:36.565Z,36.3603,36.1708,10,4.4,mb,26,181,1.163,1.07,us,us6000jnr7,2023-04-15T21:39:59.040Z,"3 km W of Serinyol, Turkey",earthquake,3.45,1.941,0.169,10,reviewed,us,us
2023-02-06T01:55:41.029Z,37.2073,36.5988,10,4.4,mb,43,109,0.423,0.7,us,us6000jnru,2023-04-15T21:40:00.040Z,"2 km ENE of Bahçe, Turkey",earthquake,5.65,1.863,0.112,23,reviewed,us,us
2023-02-06T01:56:29.834Z,37.7175,37.3615,10,4.3,mb,16,89,0.558,0.49,us,us6000jnvm,2023-04-15T21:40:04.040Z,"7 km ESE of Ça?layancerit, Turkey",earthquake,3.65,1.953,0.178,9,reviewed,us,us
2023-02-06T01:58:23.118Z,37.0302,36.6208,10,5.1,mb,120,69,0.492,0.67,us,us6000jlmf,2023-04-15T21:39:33.040Z,"12 km SSE of Hasanbeyli, Turkey",earthquake,5.06,1.841,0.06,91,reviewed,us,us
2023-02-06T02:01:18.994Z,37.7238,37.8026,16.202,4.5,mb,41,135,1.166,0.76,us,us6000jnvi,2023-04-15T21:40:04.040Z,"6 km WNW of Besni, Turkey",earthquake,6.66,5.335,0.131,17,reviewed,us,us
2023-02-06T02:01:45.687Z,37.3512,37.095,10.502,4.8,mb,77,81,0.201,0.72,us,us6000jlmy,2023-04-15T21:39:34.040Z,"23 km SW of Pazarc?k, Turkey",earthquake,5.22,4.226,0.076,53,reviewed,us,us
2023-02-06T02:03:37.341Z,37.7712,37.9141,16.929,5.3,mb,154,35,0.792,0.61,us,us6000jlmh,2023-04-15T21:39:33.040Z,"Central Turkey",earthquake,4.28,3.347,0.052,122,reviewed,us,us
2023-02-06T02:06:23.457Z,37.9227,38.0613,10,5,mb,90,64,0.771,0.97,us,us6000jmn0,2023-04-15T21:39:49.040Z,"19 km NE of Tut, Turkey",earthquake,4.75,1.816,0.068,68,reviewed,us,us
2023-02-06T02:10:16.832Z,38.1562,38.5195,14.253,4.4,mb,37,65,0.753,0.65,us,us6000jnr8,2023-04-15T21:39:59.040Z,"15 km NNW of Sincik, Turkey",earthquake,3.26,5.127,0.143,14,reviewed,us,us
2023-02-06T02:11:48.911Z,37.9265,38.2237,16.711,4.1,mb,47,91,0.678,0.66,us,us6000jnr9,2023-04-15T21:39:59.040Z,"11 km S of Çelikhan, Turkey",earthquake,5.04,4.602,0.111,22,reviewed,us,us
2023-02-06T02:13:40.815Z,37.2863,36.8539,10,4.2,mb,17,89,0.306,0.46,us,us6000jnra,2023-04-15T21:39:59.040Z,"16 km NE of Nurda??, Turkey",earthquake,5.2,1.92,0.167,10,reviewed,us,us
2023-02-06T02:16:09.128Z,37.4468,37.0449,10,4.2,mb,13,129,0.304,0.4,us,us6000jmn3,2023-04-15T21:39:49.040Z,"18 km SE of Kahramanmara?, Turkey",earthquake,4.28,1.954,0.235,5,reviewed,us,us
2023-02-06T02:17:40.715Z,37.1024,36.7301,12.201,4.8,mb,86,70,0.389,0.72,us,us6000jlmm,2023-04-15T21:39:34.040Z,"7 km S of Nurda??, Turkey",earthquake,6.54,4.372,0.071,61,reviewed,us,us
2023-02-06T02:21:20.561Z,37.4358,37.0658,14.349,4.2,mb,34,83,0.287,0.7,us,us6000jmn5,2023-04-15T21:39:50.040Z,"20 km SE of Kahramanmara?, Turkey",earthquake,3.8,4.705,0.115,21,reviewed,us,us
2023-02-06T02:23:14.336Z,37.1816,36.9658,11.359,5.3,mb,195,36,0.195,0.55,us,us6000jlmn,2023-04-15T21:39:34.040Z,"20 km E of Nurda??, Turkey",earthquake,4.96,3.519,0.046,159,reviewed,us,us
2023-02-06T02:28:43.721Z,37.4292,36.9502,8.01,4.1,mb,21,146,0.086,0.57,us,us6000jnw1,2023-04-15T21:40:05.040Z,"Central Turkey",earthquake,5.34,7.776,0.235,5,reviewed,us,us
2023-02-06T02:31:26.171Z,37.4137,36.8216,12.112,4.5,mb,42,156,0.111,0.65,us,us6000jnsi,2023-04-15T21:40:01.040Z,"21 km SSW of Kahramanmara?, Turkey",earthquake,6.24,4.994,0.113,23,reviewed,us,us
2023-02-06T02:32:08.686Z,37.5639,37.1467,17.393,4.5,mb,32,81,0.205,1,us,us6000jnw0,2023-04-15T21:40:05.040Z,"15 km WNW of Pazarc?k, Turkey",earthquake,5.8,4.065,0.124,19,reviewed,us,us
2023-02-06T02:33:28.446Z,38.1084,38.495,17.891,4.4,mb,44,83,0.715,0.54,us,us6000jnrb,2023-04-15T21:39:59.040Z,"13 km NW of Sincik, Turkey",earthquake,3.57,4.387,0.117,21,reviewed,us,us
2023-02-06T02:34:18.119Z,37.4941,37.2266,14.637,4.3,mb,41,91,0.322,0.6,us,us6000jnry,2023-04-15T21:40:00.040Z,"6 km W of Pazarc?k, Turkey",earthquake,6.91,5.929,0.111,23,reviewed,us,us
2023-02-06T02:34:51.505Z,37.0822,37.0363,10,4.7,mb,84,68,0.165,0.84,us,us6000jnsj,2024-01-18T19:19:06.108Z,"24 km NNE of Musabeyli, Turkey",earthquake,6.44,1.839,0.073,58,reviewed,us,us
